
Journey ahead is dangerous. Here, take these to aid you in your journey.

Knife Wife
Dagger Dame
Cinquedea Cinderella
Kukri Cutie
Messer Maiden
Khopesh Corollary
Stiletto Strumpet
Dirk Damsel
Balisong Bombshell
Tanto Trollop
Switchblade Sweetheart
Fencing Fiancé
Wakizashi Waifu
Machete Betty
Zatochka Zealot
Dagger Banger
Baselard Betrothed
Kabar Consort
Bodzikan Clubwoman
Ida Inamorata
Pugio Princess
Tecpatl Tramp
Kris Kisser
shank skank
dirk débutante
Messermeister Feinsliebchen
Cutlery Cutie
Stabby Betty
Slashy Hussy 
Bollock Beauty
Butcher Buxom
